"month_day","proportion_repeating_customers","repeating_customers_total_orders_contribution","repeating_customers_total_revenue_contribution"
"2016-10-01","0","0","0"
"2016-12-01","0","0","0"
"2017-01-01","0.00131","0.00125","0.00014"
"2017-02-01","0.00171","0.00169","0.00059"
"2017-03-01","0.00227","0.00224","0.00145"
"2017-04-01","0.00843","0.00874","0.00614"
"2017-05-01","0.008","0.00811","0.00898"
"2017-06-01","0.01289","0.01387","0.0118"
"2017-07-01","0.01343","0.01416","0.01721"
"2017-08-01","0.0146","0.01501","0.01691"
"2017-09-01","0.01947","0.01937","0.01693"
"2017-10-01","0.01995","0.02073","0.0178"
"2017-11-01","0.01696","0.0175","0.01521"
"2017-12-01","0.0207","0.02151","0.02183"
"2018-01-01","0.01968","0.01995","0.02033"
"2018-02-01","0.01796","0.01873","0.01684"
"2018-03-01","0.02108","0.02149","0.01828"
"2018-04-01","0.02485","0.02508","0.02323"
"2018-05-01","0.02818","0.02881","0.02539"
"2018-06-01","0.03068","0.0313","0.02988"
"2018-07-01","0.02552","0.02559","0.02341"
"2018-08-01","0.02926","0.0301","0.03214"
